molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50
CHEMBL1272061,IC50,nM,8.0,IC50,uM,0.008,C=CC(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,8.096910013008056
CHEMBL1272113,IC50,nM,1270.0,IC50,uM,1.27,CC#CC(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,5.896196279044043
CHEMBL1272167,IC50,nM,91.0,IC50,uM,0.091,C=CS(=O)(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,7.040958607678906
CHEMBL1272168,IC50,nM,3057.0,IC50,uM,3.057,C=CC(=O)N1CCc2c(sc3ncnc(N[C@@H](CO)c4ccccc4)c23)C1,5.514704561273911
CHEMBL1272222,IC50,nM,20.0,IC50,uM,0.02,C=CC(=O)N1CCc2c(sc3ncnc(N[C@H](C)c4ccccc4)c23)C1,7.698970004336019
CHEMBL1272223,IC50,nM,46.0,IC50,uM,0.046,C=CC(=O)N1CCc2c(sc3ncnc(N[C@H](CC)c4ccccc4)c23)C1,7.337242168318426
CHEMBL1272275,IC50,nM,3503.0,IC50,uM,3.503,O=C(/C=C/c1ccccc1)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,5.455559862682308
CHEMBL1272276,IC50,nM,70.0,IC50,uM,0.07,CN(C)C/C=C/C(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,7.154901959985743
CHEMBL1272324,IC50,nM,9.0,IC50,uM,0.009,CCN(CC)C/C=C/C(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,8.045757490560675
CHEMBL1272325,IC50,nM,21.0,IC50,uM,0.021,O=C(/C=C/CN1CCOCC1)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,7.6777807052660805
CHEMBL1271507,IC50,nM,89.0,IC50,uM,0.089,CN1CCN(C/C=C/C(=O)N2CCc3c(sc4ncnc(N[C@H](CO)c5ccccc5)c34)C2)CC1,7.050609993355087
CHEMBL1271561,IC50,nM,12.0,IC50,uM,0.012,C[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)/C=C/CN(C)C)C3)c1ccccc1,7.920818753952375
CHEMBL1271562,IC50,nM,12.0,IC50,uM,0.012,CC[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)/C=C/CN(C)C)C3)c1ccccc1,7.920818753952375
CHEMBL1271618,IC50,nM,149.0,IC50,uM,0.149,CN(C)C/C=C/C(=O)N1CCc2c(sc3ncnc(N[C@H](CO)Cc4ccccc4)c23)C1,6.826813731587726
